WarehouseName,District,State,lat,long
BERHAMPUR,Ganjam,Odisha,19.6090068,84.7080633
BETTIAH,West Champaran,Bihar,27.0518367,84.3351209
BHADOHI,Sant Ravidas Nagar,Uttar Pradesh,25.3574077,82.5002953
BHATAPARA-I,Raipur,Chhattisgarh,21.2380912,81.6336993
BHATAPARA-II,Raipur,Chhattisgarh,21.2380912,81.6336993
BHATINDA,Bathinda,Punjab,30.1794814,75.0471098
BHATTU KALAN-HIRED,Fatehabad,Haryana,29.5359209,75.5752901
BHOGPUR,Jalandhar,Punjab,31.2922312,75.5678878
BIBINAGAR -HIRED CCI,Yadadri Bhuvanagiri,Telangana,17.4281967,79.090491
BIBIPUR,Firozpur,Punjab,30.8753832,74.6525438
BIJNORE,Bijnor,Uttar Pradesh,29.4074203,78.4821406
BISALPUR,Pilibhit,Uttar Pradesh,28.4947158,80.1076122
BONHOOGHLY,Hooghly,West Bengal,22.9099403,88.0120825
BUDLADA HIRED,Surendranagar,Gujarat,22.8251395,71.6209736
BURDWAN,Purba Bardhaman,West Bengal,23.3884089,87.9606763
BURDWAN II - HIRED,Purba Bardhaman,West Bengal,23.3884089,87.9606763
CCI X ROAD- HIRED CCI,Hyderabad,Telangana,17.360589,78.4740613
CHAIBASA - HIRED,West Singhbhum,Jharkhand,22.4282857,85.5317483
CHAKSU - HIRED,Jaipur,Rajasthan,26.9154576,75.8189817
CHANALON,Patiala,Punjab,30.2092778,76.3397231
CHANDAUSI,Sambhal,Uttar Pradesh,28.4271928,78.5564546
CHANDAUSI-II,Sambhal,Uttar Pradesh,28.4271928,78.5564546
CHANDRAKONA ROAD,Paschim Medinipur,West Bengal,22.3600119,87.4111505
CHANDRAPUR FSD - PMS,Chandrapur,Maharashtra,20.0967555,79.5045475
CHHATABAR-HIRED,Jhajjar,Haryana,28.5964461,76.6505366
CHIDAMBARAM,Cuddalore,Tamil Nadu,11.5202071,79.3396356
CHIKALTHANA,Aurangabad,Maharashtra,19.8597998,75.3114008
CHILAKAMARRI- HIRED CCI,Nagarkurnool,Telangana,16.4157627,78.6830433
CHIRGAON,Jhansi,Uttar Pradesh,25.529855,78.6527802
CHITYAL,Jangaon,Telangana,17.7465843,79.2407218
CHOMU,Jaipur,Rajasthan,26.9154576,75.8189817
CHOUDWAR,Cuttack,Odisha,20.4686,85.8792
CHROMEPET,Chennai,Tamil Nadu,13.0836939,80.270186
COOCH BEHAR,Cooch Behar,West Bengal,26.2559197,89.4201143
DABASPETH,Amravati,Maharashtra,21.1545412,77.6442962
DADRI,Gautam Buddha Nagar,Uttar Pradesh,28.368716,77.5970121
DASHRATH ICD,Sonapur,Uttar Pradesh,26.1126719,92.0097323
DEHRA,Kangra,Himachal Pradesh,32.0768665,76.2985872
DEOLI,Tonk,Rajasthan,26.1223198,75.6632235
DEVARAYAMZAL - HIRED CCI,Medchal-Malkajgiri,Telangana,17.5349835,78.5246387
DEVARAYAMZAL-II-HIRED CCI,Medchal-Malkajgiri,Telangana,17.5349835,78.5246387
DHARMABAD-HIRED,Nanded,Maharashtra,19.0940088,77.4831922
DHARMARAM-HIRED CCI,Peddapalli,Telangana,18.6206531,79.4950171
DHORAJI-HIRED,Rajkot,Gujarat,22.3053263,70.8028377
DHUPAKUNTA- HIRED CCI,Peddapalli,Telangana,18.6206531,79.4950171
DISTRIPARK - CFS,Mumbai,Maharashtra,19.054999,72.8692035
DODDABALLAPUR - HIRED OPEN,Bengaluru Rural,Karnataka,13.1826245,77.3395681
DRASS,Kargil,Ladakh,34.5593048,76.1255767
DRONAGIRI NODE - CFS,Raigad,Maharashtra,18.4928092,73.138071
DUGGIRALA,Guntur,Andhra Pradesh,16.2915189,80.4541588
DUMARIYAGANJ,Siddharth Nagar,Uttar Pradesh,27.27547,83.0880597
DURGACHAK,Purba Medinipur,West Bengal,22.0648451,87.8377586
EDATHALA-ALUVA,Ernakulam,Kerala,10.0383947,76.5074145
ELIKATTA -HIRED CCI,Nizamabad,Telangana,18.6732693,78.0978477
ENUMAMULA MARKET - HIRED CCI,Warangal,Telangana,17.9820644,79.5970954
ERNAKULAM,Ernakulam,Kerala,10.0383947,76.5074145
FATUHA,Patna,Bihar,25.6093239,85.1235252
GADWAL,Jogulamba Gadwal,Telangana,16.0999202,77.7341584
GAJALAPURAM -HIRED CCI,Warangal,Telangana,17.9820644,79.5970954
GANDHIDHAM - HIRED,Kutch,Gujarat,23.583333,70.0
GANDHIDHAM-II-HIRED,Kutch,Gujarat,23.583333,70.0
GANDHIDHAM-III- HIRED,Kutch,Gujarat,23.583333,70.0
GARDEN REACH,Kolkata,West Bengal,22.5726459,88.3638953
GARSHANKAR,Hoshiarpur,Punjab,31.6092942,75.8459754
GOARA,Varanasi,Uttar Pradesh,25.3356491,83.0076292
GORREKUNTA- HIRED CCI,Mancherial,Telangana,18.9812967,79.5198096
GOURARAM- HIRED CCI,Suryapet,Telangana,17.0800139,79.792533
GREATER NOIDA,Gautam Buddha Nagar,Uttar Pradesh,28.368716,77.5970121
GUDIVADA,Krishna,Andhra Pradesh,16.2129438,81.0283082
GULBARGA-III- HIRED,Kalaburagi,Karnataka,17.2408957,76.7697439
GULBERGA-I,Kalaburagi,Karnataka,17.2408957,76.7697439
GULBERGA-II,Kalaburagi,Karnataka,17.2408957,76.7697439
HALDIA,Purba Medinipur,West Bengal,22.0648451,87.8377586
HARDOI,Hardoi,Uttar Pradesh,27.3369978,80.0998232
HIDE ROAD- HIRED,Hyderabad,Telangana,17.360589,78.4740613
HOSHIARPUR,Hoshiarpur,Punjab,31.6092942,75.8459754
HOSPETE - HIRED,Vijayanagara,Karnataka,14.9428567,76.0448007
HOSUR,Krishnagiri,Tamil Nadu,12.5152075,78.0093769
HUBLI,Dharwad,Karnataka,15.3707296,75.1332867
ICP PETRAPOLE,North 24 Parganas,West Bengal,22.6926815,88.6625795
IGI AIRPORT ABW - HIRED,New Delhi,Delhi,28.6138954,77.2090057
IMPEX PARK - CFS,Pune,Maharashtra,18.5213738,73.8545071
INDRI,Karnal,Haryana,29.7255766,76.9106924
ISHANPUR - HIRED,Ahmedabad,Gujarat,23.0215374,72.5800568
JAGADHARI,Yamunanagar,Haryana,30.1231349,77.286329
JAGADHARI-II HIRED,Yamunanagar,Haryana,30.1231349,77.286329
JAMMIKUNTA - HIRED CCI,Karimnagar,Telangana,18.4348122,79.1328042
JAMSHEDPUR,East Singhbhum,Jharkhand,22.613184,86.3819399
JASPUR,Udham Singh Nagar,Uttarakhand,29.0478314,79.4326164
JATNI,Khordha,Odisha,20.0538149,85.5023308
JHAJJAR-HIRED,Jhajjar,Haryana,28.5964461,76.6505366
JHUNJHUNU,Jhunjhunu,Rajasthan,28.0798944,75.5424211
JOGIHOPA FSD - PMS,Bongaigaon,Assam,26.4800126,90.5580387
JUNAGARH,Kalahandi,Odisha,19.8265757,83.0408702
KADAMBAPUR -HIRED CCI,Suryapet,Telangana,17.0800139,79.792533
KADAPA,Kadapa,Andhra Pradesh,14.4752936,78.8216861
KAIKALUR,Krishna,Andhra Pradesh,16.2129438,81.0283082
KAKKANAD,Ernakulam,Kerala,10.0383947,76.5074145
KAKKANCHERRY,Thrissur,Kerala,10.5270099,76.214621
KALAMATI,Mumbai,Maharashtra,19.054999,72.8692035
KALAMBOLI - IRT,Navi Mumbai,Maharashtra,19.0308262,73.0198537
KALAVAD-HIRED,Jamnagar,Gujarat,22.4732415,70.0552102
KAMMASANDRA-HIRED,Bengaluru,Karnataka,12.9767936,77.590082
KANDLA PORT CFS,Kutch,Gujarat,23.583333,70.0
KANDLAKOYA - HIRED CCI,Medchal-Malkajgiri,Telangana,17.5349835,78.5246387
KANNUR,Kannur,Kerala,11.8763836,75.3737973
KANPUR CB - HIRED,Kanpur,Uttar Pradesh,26.4609135,80.3217588
KANPUR ICD,Kanpur,Uttar Pradesh,26.4609135,80.3217588
KANPUR NAGAR- HIRED,Kanpur,Uttar Pradesh,26.4609135,80.3217588
KANPUR RANIA-HIRED,Kanpur,Uttar Pradesh,26.4609135,80.3217588
KARACHIA-II-HIRED,Lakhimpur Kheri,Uttar Pradesh,28.1834229,80.7131272
KASHIPUR-I,Udham Singh Nagar,Uttarakhand,29.0478314,79.4326164
KASHIPUR-II,Udham Singh Nagar,Uttarakhand,29.0478314,79.4326164
KASNA,Gautam Buddha Nagar,Uttar Pradesh,28.368716,77.5970121
KATNI,Katni,Madhya Pradesh,23.7176393,80.2610181
KATNI-HIRED,Katni,Madhya Pradesh,23.7176393,80.2610181
KENDUPALLI-I,Cuttack,Odisha,20.4686,85.8792
KENDUPALLI-II,Cuttack,Odisha,20.4686,85.8792
KESARISINGHPUR,Patiala,Punjab,30.2092778,76.3397231
KHARAGPUR,Paschim Medinipur,West Bengal,22.3600119,87.4111505
KHATIMA,Udham Singh Nagar,Uttarakhand,29.0478314,79.4326164
KIRTI NAGAR,New Delhi,Delhi,28.6138954,77.2090057
KOCHHABHANWAR-HIRED,Yavatmal,Maharashtra,20.0638677,78.3565663
KOCHI,Ernakulam,Kerala,10.0383947,76.5074145
KOKSARA,Kalahandi,Odisha,19.8265757,83.0408702
KOLKATA-CFS,Kolkata,West Bengal,22.5726459,88.3638953
KONDAPAKA-HIRED CCI,Siddipet,Telangana,18.0055851,78.896113
KOTHAGUDEM- HIRED CCI,Bhadradri Kothagudem,Telangana,17.7166633,80.5712609
KOTPUTLI,Jaipur,Rajasthan,26.9154576,75.8189817
KOZHIKODE,Kozhikode,Kerala,11.2450558,75.7754716
KUKATPALLY CFS,Hyderabad,Telangana,17.360589,78.4740613
KUMBAKONAM,Thanjavur,Tamil Nadu,10.659037,79.2014278
KUNNAMTHANAM,Kottayam,Kerala,9.6287383,76.6455326
LADWA,Kurukshetra,Haryana,29.9693747,76.8482787
LALGADIMALAKPET-HIRED CCI,Hyderabad,Telangana,17.360589,78.4740613
LI AREA -HIRED CCI,Hyderabad,Telangana,17.360589,78.4740613
LOHARPURWA- HIRED,Sitapur,Uttar Pradesh,27.5026748,80.8335139
LONI - ICD,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
LUNGELI FSD - PMS,Lawngtlai,Mizoram,22.3913377,92.7397189
MACHILIPATNAM,Krishna,Andhra Pradesh,16.2129438,81.0283082
MADHAVARAM,Chennai,Tamil Nadu,13.0836939,80.270186
MADIKKAI,Kasaragod,Kerala,12.4221964,75.1904446
MAKSI,Shajapur,Madhya Pradesh,23.4171002,76.6074794
MALIGAON,Guwahati,Assam,26.1805978,91.753943
MALIWADA - HIRED PEG,Vikarabad,Telangana,17.2702855,77.745297
MALIYA HATINA HIRED,Morbi,Gujarat,22.8003959,70.886232
MALIYAHATINA- HIRED PEG,Morbi,Gujarat,22.8003959,70.886232
MALLANPUR,Guna,Madhya Pradesh,24.5001772,77.2600959
MANARGUDI,Thiruvarur,Tamil Nadu,10.6878621,79.4979437
MANDI ADAMPUR,Jalandhar,Punjab,31.2922312,75.5678878
MANDI ADAMPUR-HIRED,Jalandhar,Punjab,31.2922312,75.5678878
MANDI GOBINDGARH,Fatehgarh Sahib,Punjab,30.6634042,76.3803
MANGALORE-I,Dakshina Kannada,Karnataka,12.8226434,75.2265036
MANOHARABAD -HIRED CCI,Medak,Telangana,17.9375095,78.211745
MARAVANMADAM- HIRED NAFED,Kanchipuram,Tamil Nadu,12.9647163,79.9839686
MARSHAGHAI,Kendrapara,Odisha,20.5475164,86.5296168
MATIGARA-SILIGURI,Darjeeling,West Bengal,27.0377554,88.263176
MEL ARASADI POST- HIRED NCCF,Pudukkottai,Tamil Nadu,10.2903072,78.8173617
MELLACHERUVU-HIRED CCI,Suryapet,Telangana,17.0800139,79.792533
MEPZ - HIRED,Chennai,Tamil Nadu,13.0836939,80.270186
MILL ROAD -HIRED CCI,Karimnagar,Telangana,18.4348122,79.1328042
MIRAJ,Sangli,Maharashtra,17.1726928,74.5867654
MIRAJ BD,Sangli,Maharashtra,17.1726928,74.5867654
MOGRA-TARAGAON,Hooghly,West Bengal,22.9099403,88.0120825
MOHALI,SAS Nagar,Punjab,30.6904366,76.7116208
MOHANIA,Kaimur,Bihar,24.975466,83.5768379
MOKAMA,Patna,Bihar,25.6093239,85.1235252
MOOLAPALAYAM,Coimbatore,Tamil Nadu,11.0018115,76.9628425
MOTHIGHANPUR - HIRED CCI,Sangareddy,Telangana,17.8684342,77.8227189
MUNDRA,Kutch,Gujarat,23.583333,70.0
MUNDRA CFS,Kutch,Gujarat,23.583333,70.0
NABARANGPUR,Nabarangpur,Odisha,19.228896,82.5665715
NABHA,Patiala,Punjab,30.2092778,76.3397231
NABHA BD,Patiala,Punjab,30.2092778,76.3397231
NAGAUR - HIRED,Nagaur,Rajasthan,26.9873443,73.7389011
NAGERCOIL,Kanyakumari,Tamil Nadu,8.079252,77.5499338
NAMPALLY,Hyderabad,Telangana,17.360589,78.4740613
NANDIKOTKUR,Kurnool,Andhra Pradesh,15.8309251,78.0425373
NANDYAL,Nandyal,Andhra Pradesh,15.4736293,78.4806592
NANGLOI - HIRED,New Delhi,Delhi,28.6138954,77.2090057
NARAINGARH,Ambala,Haryana,30.3843674,76.770421
NARELA,New Delhi,Delhi,28.6138954,77.2090057
NARELA SINGHOLA - HIRED,New Delhi,Delhi,28.6138954,77.2090057
NARENGI-HIRED,Kamrup,Assam,26.1468861,91.2227397
NARGUND,Gadag,Karnataka,15.416692,75.6815801
NARMADA-HIRED,Narmada,Gujarat,21.7392625,73.6262458
NARSINGHPUR-I,Narsinghpur,Madhya Pradesh,22.934556,79.0867849
NARWANA,Jind,Haryana,29.3152073,76.314082
NASIK ROAD,Nashik,Maharashtra,20.0112475,73.7902364
NEKKONDA - HIRED CCI,Warangal,Telangana,17.9820644,79.5970954
NELAKONDAPALLY- HIRED CCI,Khammam,Telangana,17.2465351,80.1500326
NEPALAPUR- HIRED,Jagatsinghpur,Odisha,20.2593872,86.1660878
NIDAMANUR,Nellore,Andhra Pradesh,14.4493717,79.9873763
Nilambazar FSD - PMS,Karimganj,Assam,24.5828196,92.3725487
NOIDA SECTOR 68,Gautam Buddha Nagar,Uttar Pradesh,28.368716,77.5970121
NOKHA,Bikaner,Rajasthan,28.0159286,73.3171367
NSEZ ICD - HIRED,Gautam Buddha Nagar,Uttar Pradesh,28.368716,77.5970121
NUMALIGARH- HIRED,Golaghat,Assam,26.5108262,93.9743686
NUTHANKAL -HIRED CCI,Suryapet,Telangana,17.0800139,79.792533
ONGOLE,Prakasam,Andhra Pradesh,15.6642644,79.4733001
PANAMBUR CFS,Dakshina Kannada,Karnataka,12.8226434,75.2265036
PANCHPARA,North 24 Parganas,West Bengal,22.6926815,88.6625795
PANIHATI,North 24 Parganas,West Bengal,22.6926815,88.6625795
PARBATSAR - HIRED,Nagaur,Rajasthan,26.9873443,73.7389011
PARIKSHA - HIRED,Hooghly,West Bengal,22.9099403,88.0120825
PATNA CITY,Patna,Bihar,25.6093239,85.1235252
PEDAKAKANI,Guntur,Andhra Pradesh,16.2915189,80.4541588
PIPAVAV,Amreli,Gujarat,21.4176122,71.249609
POCHERA -HIRED CCI,Nizamabad,Telangana,18.6732693,78.0978477
POCHERA ROAD - HIRED CCI,Nizamabad,Telangana,18.6732693,78.0978477
Polivakkam 1 - HIRED CCI,Tiruvallur,Tamil Nadu,13.1394221,79.9070839
Polivakkam 2 - HIRED CCI,Tiruvallur,Tamil Nadu,13.1394221,79.9070839
POLLACHI-HIRED,Coimbatore,Tamil Nadu,,
PONNALA - HIRED CCI,Karimnagar,Telangana,,
POODUR- HIRED CCI,Warangal,Telangana,,
PORT BLAIR,South Andaman,Andaman and Nicobar Islands,10.7056905,92.4874679
PUNTAMBA - HIRED,Ahmednagar,Maharashtra,19.1627725,74.8580243
R P BAGH,New Delhi,Delhi,28.6138954,77.2090057
RAGHUNATHPALLY - HIRED CCI,Siddipet,Telangana,18.0055851,78.896113
RAILAPUR - HIRED CCI,Siddipet,Telangana,18.0055851,78.896113
RAJAMAHENDRAVARAM,East Godavari,Andhra Pradesh,16.9956639,81.7154378
RAMAJIPET - HIRED CCI,Sangareddy,Telangana,17.8684342,77.8227189
RAMPUR ROAD I -HIRED CCI,Karimnagar,Telangana,18.4348122,79.1328042
RAMPUR ROAD II -HIRED CCI,Karimnagar,Telangana,18.4348122,79.1328042
RAMPUR ROAD III - HIRED CCI,Karimnagar,Telangana,18.4348122,79.1328042
RANINAGAR,Murshidabad,West Bengal,24.1745993,88.2721335
RANOLI-III KARCHIA,Vadodara,Gujarat,22.2973142,73.1942567
RAYAGADA,Rayagada,Odisha,19.4426698,83.5873053
RAYANAPADU,Krishna,Andhra Pradesh,16.2129438,81.0283082
RENIGUNTA,Chittoor,Andhra Pradesh,13.2026484,79.0032253
ROBERTSGANJ,Sonbhadra,Uttar Pradesh,24.4148159,83.0637517
ROPAR,Rupnagar,Punjab,31.0917102,76.5289701
ROURKELA - HIRED,Sundargarh,Odisha,22.0605153,83.9359154
ROYAPURAM,Chennai,Tamil Nadu,13.0836939,80.270186
SADA GOA - ACC,North Goa,Goa,15.6044413,74.0017241
SADULPUR - HIRED,Churu,Rajasthan,28.2047781,74.6912996
SAHARANPUR BD,Saharanpur,Uttar Pradesh,29.9856799,77.5040646
SAHARANPUR-I,Saharanpur,Uttar Pradesh,29.9856799,77.5040646
SAHIBABAD-I,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
SAHIBABAD-II,Ghaziabad,Uttar Pradesh,28.7749966,77.4586967
SAKHIGOPAL PURI - HIRED,Puri,Odisha,19.8076083,85.8252538
SAMASTIPUR,Samastipur,Bihar,25.7747885,85.8672314
SANATHNGR-FO,Warangal,Telangana,17.9820644,79.5970954
SANGHI NAGAR II -HIRED CCI,Sangareddy,Telangana,17.8684342,77.8227189
SANGHI NAGAR-HIRED CCI,Sangareddy,Telangana,17.8684342,77.8227189
SANGLI,Sangli,Maharashtra,17.1726928,74.5867654
SANKARAPERI-HIRED NCCF,Tirunelveli,Tamil Nadu,8.5495014,77.5805178
SANWAR,Indore,Madhya Pradesh,22.7203616,75.8681996
SARGACHI,Murshidabad,West Bengal,24.1745993,88.2721335
SATTENAPALLI,Guntur,Andhra Pradesh,16.2915189,80.4541588
SEDAM,Kalaburagi,Karnataka,17.2408957,76.7697439
SENJERI-HIRED,Tiruppur,Tamil Nadu,10.7915267,77.5325466
SHAHJAHANPUR,Shahjahanpur,Uttar Pradesh,27.9128583,79.7476254
SHAMLI,Shamli,Uttar Pradesh,29.4811508,77.2901344
SHEOPURKALAN-I,Sheopur,Madhya Pradesh,25.7499267,76.9212945
SHEOPURKALAN-II,Sheopur,Madhya Pradesh,25.7499267,76.9212945
SHIKARIPUR,Shimoga,Karnataka,14.0556503,75.2380553
SHIMOGA - HIRED,Shimoga,Karnataka,14.0556503,75.2380553
SHIVPUR MOTIRAM ADDA- HIRED,Varanasi,Uttar Pradesh,25.3356491,83.0076292
SHOLAVARAM - HIRED,Tiruvallur,Tamil Nadu,13.1394221,79.9070839
SIKAR,Sikar,Rajasthan,27.6624156,75.0279971
SINGAREDDLYPALEM HIRED CCI,Guntur,Andhra Pradesh,16.2915189,80.4541588
SIRHIND,Fatehgarh Sahib,Punjab,30.6634042,76.3803
SIWAN - HIRED,Siwan,Bihar,26.131008,84.3910745
