WarehouseName,District,State,lat,long
BHATAPARA-II,Raipur,Chhattisgarh,,
BHATINDA,Bathinda,Punjab,,
BHATTU KALAN-HIRED,Fatehabad,Haryana,,
BHOGPUR,Jalandhar,Punjab,,
BIBINAGAR -HIRED CCI,Yadadri Bhuvanagiri,Telangana,,
BIBIPUR,Firozpur,Punjab,,
BIJNORE,Bijnor,Uttar Pradesh,,
BISALPUR,Pilibhit,Uttar Pradesh,,
BONHOOGHLY,Hooghly,West Bengal,,
BUDLADA HIRED,Surendranagar,Gujarat,,
BURDWAN,Purba Bardhaman,West Bengal,,
BURDWAN II - HIRED,Purba Bardhaman,West Bengal,,
CCI X ROAD- HIRED CCI,Hyderabad,Telangana,,
CHAIBASA - HIRED,West Singhbhum,Jharkhand,,
CHAKSU - HIRED,Jaipur,Rajasthan,,
CHANALON,Patiala,Punjab,,
CHANDAUSI,Sambhal,Uttar Pradesh,,
CHANDAUSI-II,Sambhal,Uttar Pradesh,,
CHANDRAKONA ROAD,Paschim Medinipur,West Bengal,,
CHANDRAPUR FSD - PMS,Chandrapur,Maharashtra,,
CHHATABAR-HIRED,Jhajjar,Haryana,,
CHIDAMBARAM,Cuddalore,Tamil Nadu,,
CHIKALTHANA,Aurangabad,Maharashtra,,
CHILAKAMARRI- HIRED CCI,Nagarkurnool,Telangana,,
CHIRGAON,Jhansi,Uttar Pradesh,,
CHITYAL,Jangaon,Telangana,,
CHOMU,Jaipur,Rajasthan,,
CHOUDWAR,Cuttack,Odisha,,
CHROMEPET,Chennai,Tamil Nadu,,
COOCH BEHAR,Cooch Behar,West Bengal,,
DABASPETH,Amravati,Maharashtra,,
DADRI,Gautam Buddha Nagar,Uttar Pradesh,,
DASHRATH ICD,Sonapur,Uttar Pradesh,,
DEHRA,Kangra,Himachal Pradesh,,
DEOLI,Tonk,Rajasthan,,
DEVARAYAMZAL - HIRED CCI,Medchal-Malkajgiri,Telangana,,
DEVARAYAMZAL-II-HIRED CCI,Medchal-Malkajgiri,Telangana,,
DHARMABAD-HIRED,Nanded,Maharashtra,,
DHARMARAM-HIRED CCI,Peddapalli,Telangana,,
DHORAJI-HIRED,Rajkot,Gujarat,,
DHUPAKUNTA- HIRED CCI,Peddapalli,Telangana,,
DISTRIPARK - CFS,Mumbai,Maharashtra,,
DODDABALLAPUR - HIRED OPEN,Bengaluru Rural,Karnataka,,
DRASS,Kargil,Ladakh,,
DRONAGIRI NODE - CFS,Raigad,Maharashtra,,
DUGGIRALA,Guntur,Andhra Pradesh,,
DUMARIYAGANJ,Siddharth Nagar,Uttar Pradesh,,
DURGACHAK,Purba Medinipur,West Bengal,,
EDATHALA-ALUVA,Ernakulam,Kerala,,
ELIKATTA -HIRED CCI,Nizamabad,Telangana,,
ENUMAMULA MARKET - HIRED CCI,Warangal,Telangana,,
ERNAKULAM,Ernakulam,Kerala,,
FATUHA,Patna,Bihar,,
GADWAL,Jogulamba Gadwal,Telangana,,
GAJALAPURAM -HIRED CCI,Warangal,Telangana,,
GANDHIDHAM - HIRED,Kutch,Gujarat,,
GANDHIDHAM-II-HIRED,Kutch,Gujarat,,
GANDHIDHAM-III- HIRED,Kutch,Gujarat,,
GARDEN REACH,Kolkata,West Bengal,,
GARSHANKAR,Hoshiarpur,Punjab,,
GOARA,Varanasi,Uttar Pradesh,,
GORREKUNTA- HIRED CCI,Mancherial,Telangana,,
GOURARAM- HIRED CCI,Suryapet,Telangana,,
GREATER NOIDA,Gautam Buddha Nagar,Uttar Pradesh,,
GUDIVADA,Krishna,Andhra Pradesh,,
GULBARGA-III- HIRED,Kalaburagi,Karnataka,,
GULBERGA-I,Kalaburagi,Karnataka,,
GULBERGA-II,Kalaburagi,Karnataka,,
HALDIA,Purba Medinipur,West Bengal,,
HARDOI,Hardoi,Uttar Pradesh,,
HIDE ROAD- HIRED,Hyderabad,Telangana,,
HOSHIARPUR,Hoshiarpur,Punjab,,
HOSPETE - HIRED,Vijayanagara,Karnataka,,
HOSUR,Krishnagiri,Tamil Nadu,,
HUBLI,Dharwad,Karnataka,,
ICP PETRAPOLE,North 24 Parganas,West Bengal,,
IGI AIRPORT ABW - HIRED,New Delhi,Delhi,,
IMPEX PARK - CFS,Pune,Maharashtra,,
INDRI,Karnal,Haryana,,
ISHANPUR - HIRED,Ahmedabad,Gujarat,,
JAGADHARI,Yamunanagar,Haryana,,
JAGADHARI-II HIRED,Yamunanagar,Haryana,,
JAMMIKUNTA - HIRED CCI,Karimnagar,Telangana,,
JAMSHEDPUR,East Singhbhum,Jharkhand,,
JASPUR,Udham Singh Nagar,Uttarakhand,,
JATNI,Khordha,Odisha,,
JHAJJAR-HIRED,Jhajjar,Haryana,,
JHUNJHUNU,Jhunjhunu,Rajasthan,,
JOGIHOPA FSD - PMS,Bongaigaon,Assam,,
JUNAGARH,Kalahandi,Odisha,,
KADAMBAPUR -HIRED CCI,Suryapet,Telangana,,
KADAPA,Kadapa,Andhra Pradesh,,
KAIKALUR,Krishna,Andhra Pradesh,,
KAKKANAD,Ernakulam,Kerala,,
KAKKANCHERRY,Thrissur,Kerala,,
KALAMATI,Mumbai,Maharashtra,,
KALAMBOLI - IRT,Navi Mumbai,Maharashtra,,
KALAVAD-HIRED,Jamnagar,Gujarat,,
KAMMASANDRA-HIRED,Bengaluru,Karnataka,,
KANDLA PORT CFS,Kutch,Gujarat,,
KANDLAKOYA - HIRED CCI,Medchal-Malkajgiri,Telangana,,
KANNUR,Kannur,Kerala,,
KANPUR CB - HIRED,Kanpur,Uttar Pradesh,,
KANPUR ICD,Kanpur,Uttar Pradesh,,
KANPUR NAGAR- HIRED,Kanpur,Uttar Pradesh,,
KANPUR RANIA-HIRED,Kanpur,Uttar Pradesh,,
KARACHIA-II-HIRED,Lakhimpur Kheri,Uttar Pradesh,,
KASHIPUR-I,Udham Singh Nagar,Uttarakhand,,
KASHIPUR-II,Udham Singh Nagar,Uttarakhand,,
KASNA,Gautam Buddha Nagar,Uttar Pradesh,,
KATNI,Katni,Madhya Pradesh,,
KATNI-HIRED,Katni,Madhya Pradesh,,
KENDUPALLI-I,Cuttack,Odisha,,
KENDUPALLI-II,Cuttack,Odisha,,
KESARISINGHPUR,Patiala,Punjab,,
KHARAGPUR,Paschim Medinipur,West Bengal,,
KHATIMA,Udham Singh Nagar,Uttarakhand,,
KIRTI NAGAR,New Delhi,Delhi,,
KOCHHABHANWAR-HIRED,Yavatmal,Maharashtra,,
KOCHI,Ernakulam,Kerala,,
KOKSARA,Kalahandi,Odisha,,
KOLKATA-CFS,Kolkata,West Bengal,,
KONDAPAKA-HIRED CCI,Siddipet,Telangana,,
KOTHAGUDEM- HIRED CCI,Bhadradri Kothagudem,Telangana,,
KOTPUTLI,Jaipur,Rajasthan,,
KOZHIKODE,Kozhikode,Kerala,,
KUKATPALLY CFS,Hyderabad,Telangana,,
KUMBAKONAM,Thanjavur,Tamil Nadu,,
KUNNAMTHANAM,Kottayam,Kerala,,
LADWA,Kurukshetra,Haryana,,
LALGADIMALAKPET-HIRED CCI,Hyderabad,Telangana,,
LI AREA -HIRED CCI,Hyderabad,Telangana,,
LOHARPURWA- HIRED,Sitapur,Uttar Pradesh,,
LONI - ICD,Ghaziabad,Uttar Pradesh,,
LUNGELI FSD - PMS,Lawngtlai,Mizoram,,
MACHILIPATNAM,Krishna,Andhra Pradesh,,
MADHAVARAM,Chennai,Tamil Nadu,,
MADIKKAI,Kasaragod,Kerala,,
MAKSI,Shajapur,Madhya Pradesh,,
MALIGAON,Guwahati,Assam,,
MALIWADA - HIRED PEG,Vikarabad,Telangana,,
MALIYA HATINA HIRED,Morbi,Gujarat,,
MALIYAHATINA- HIRED PEG,Morbi,Gujarat,,
MALLANPUR,Guna,Madhya Pradesh,,
MANARGUDI,Thiruvarur,Tamil Nadu,,
MANDI ADAMPUR,Jalandhar,Punjab,,
MANDI ADAMPUR-HIRED,Jalandhar,Punjab,,
MANDI GOBINDGARH,Fatehgarh Sahib,Punjab,,
MANGALORE-I,Dakshina Kannada,Karnataka,,
MANOHARABAD -HIRED CCI,Medak,Telangana,,
MARAVANMADAM- HIRED NAFED,Kanchipuram,Tamil Nadu,,
MARSHAGHAI,Kendrapara,Odisha,,
MATIGARA-SILIGURI,Darjeeling,West Bengal,,
MEL ARASADI POST- HIRED NCCF,Pudukkottai,Tamil Nadu,,
MELLACHERUVU-HIRED CCI,Suryapet,Telangana,,
MEPZ - HIRED,Chennai,Tamil Nadu,,
MILL ROAD -HIRED CCI,Karimnagar,Telangana,,
MIRAJ,Sangli,Maharashtra,,
MIRAJ BD,Sangli,Maharashtra,,
MOGRA-TARAGAON,Hooghly,West Bengal,,
MOHALI,SAS Nagar,Punjab,,
MOHANIA,Kaimur,Bihar,,
MOKAMA,Patna,Bihar,,
MOOLAPALAYAM,Coimbatore,Tamil Nadu,,
MOTHIGHANPUR - HIRED CCI,Sangareddy,Telangana,,
MUNDRA,Kutch,Gujarat,,
MUNDRA CFS,Kutch,Gujarat,,
NABARANGPUR,Nabarangpur,Odisha,,
NABHA,Patiala,Punjab,,
NABHA BD,Patiala,Punjab,,
NAGAUR - HIRED,Nagaur,Rajasthan,,
NAGERCOIL,Kanyakumari,Tamil Nadu,,
NAMPALLY,Hyderabad,Telangana,,
NANDIKOTKUR,Kurnool,Andhra Pradesh,,
NANDYAL,Nandyal,Andhra Pradesh,,
NANGLOI - HIRED,New Delhi,Delhi,,
NARAINGARH,Ambala,Haryana,,
NARELA,New Delhi,Delhi,,
NARELA SINGHOLA - HIRED,New Delhi,Delhi,,
NARENGI-HIRED,Kamrup,Assam,,
NARGUND,Gadag,Karnataka,,
NARMADA-HIRED,Narmada,Gujarat,,
NARSINGHPUR-I,Narsinghpur,Madhya Pradesh,,
NARWANA,Jind,Haryana,,
NASIK ROAD,Nashik,Maharashtra,,
NEKKONDA - HIRED CCI,Warangal,Telangana,,
NELAKONDAPALLY- HIRED CCI,Khammam,Telangana,,
NEPALAPUR- HIRED,Jagatsinghpur,Odisha,,
NIDAMANUR,Nellore,Andhra Pradesh,,
Nilambazar FSD - PMS,Karimganj,Assam,,
NOIDA SECTOR 68,Gautam Buddha Nagar,Uttar Pradesh,,
NOKHA,Bikaner,Rajasthan,,
NSEZ ICD - HIRED,Gautam Buddha Nagar,Uttar Pradesh,,
NUMALIGARH- HIRED,Golaghat,Assam,,
NUTHANKAL -HIRED CCI,Suryapet,Telangana,,
ONGOLE,Prakasam,Andhra Pradesh,,
PANAMBUR CFS,Dakshina Kannada,Karnataka,,
PANCHPARA,North 24 Parganas,West Bengal,,
PANIHATI,North 24 Parganas,West Bengal,,
PARBATSAR - HIRED,Nagaur,Rajasthan,,
PARIKSHA - HIRED,Hooghly,West Bengal,,
PATNA CITY,Patna,Bihar,,
PEDAKAKANI,Guntur,Andhra Pradesh,,
PIPAVAV,Amreli,Gujarat,,
POCHERA -HIRED CCI,Nizamabad,Telangana,,
POCHERA ROAD - HIRED CCI,Nizamabad,Telangana,,
Polivakkam 1 - HIRED CCI,Tiruvallur,Tamil Nadu,,
Polivakkam 2 - HIRED CCI,Tiruvallur,Tamil Nadu,,
POLLACHI-HIRED,Coimbatore,Tamil Nadu,,
PONNALA - HIRED CCI,Karimnagar,Telangana,,
POODUR- HIRED CCI,Warangal,Telangana,,
PORT BLAIR,South Andaman,Andaman and Nicobar Islands,,
PUNTAMBA - HIRED,Ahmednagar,Maharashtra,,
R P BAGH,New Delhi,Delhi,,
RAGHUNATHPALLY - HIRED CCI,Siddipet,Telangana,,
RAILAPUR - HIRED CCI,Siddipet,Telangana,,
RAJAMAHENDRAVARAM,East Godavari,Andhra Pradesh,,
RAMAJIPET - HIRED CCI,Sangareddy,Telangana,,
RAMPUR ROAD I -HIRED CCI,Karimnagar,Telangana,,
RAMPUR ROAD II -HIRED CCI,Karimnagar,Telangana,,
RAMPUR ROAD III - HIRED CCI,Karimnagar,Telangana,,
RANINAGAR,Murshidabad,West Bengal,,
RANOLI-III KARCHIA,Vadodara,Gujarat,,
RAYAGADA,Rayagada,Odisha,,
RAYANAPADU,Krishna,Andhra Pradesh,,
RENIGUNTA,Chittoor,Andhra Pradesh,,
ROBERTSGANJ,Sonbhadra,Uttar Pradesh,,
ROPAR,Rupnagar,Punjab,,
ROURKELA - HIRED,Sundargarh,Odisha,,
ROYAPURAM,Chennai,Tamil Nadu,,
SADA GOA - ACC,North Goa,Goa,,
SADULPUR - HIRED,Churu,Rajasthan,,
SAHARANPUR BD,Saharanpur,Uttar Pradesh,,
SAHARANPUR-I,Saharanpur,Uttar Pradesh,,
SAHIBABAD-I,Ghaziabad,Uttar Pradesh,,
SAHIBABAD-II,Ghaziabad,Uttar Pradesh,,
SAKHIGOPAL PURI - HIRED,Puri,Odisha,,
SAMASTIPUR,Samastipur,Bihar,,
SANATHNGR-FO,Warangal,Telangana,,
SANGHI NAGAR II -HIRED CCI,Sangareddy,Telangana,,
SANGHI NAGAR-HIRED CCI,Sangareddy,Telangana,,
SANGLI,Sangli,Maharashtra,,
SANKARAPERI-HIRED NCCF,Tirunelveli,Tamil Nadu,,
SANWAR,Indore,Madhya Pradesh,,
SARGACHI,Murshidabad,West Bengal,,
SATTENAPALLI,Guntur,Andhra Pradesh,,
SEDAM,Kalaburagi,Karnataka,,
SENJERI-HIRED,Tiruppur,Tamil Nadu,,
SHAHJAHANPUR,Shahjahanpur,Uttar Pradesh,,
SHAMLI,Shamli,Uttar Pradesh,,
SHEOPURKALAN-I,Sheopur,Madhya Pradesh,,
SHEOPURKALAN-II,Sheopur,Madhya Pradesh,,
SHIKARIPUR,Shimoga,Karnataka,,
SHIMOGA - HIRED,Shimoga,Karnataka,,
SHIVPUR MOTIRAM ADDA- HIRED,Varanasi,Uttar Pradesh,,
SHOLAVARAM - HIRED,Tiruvallur,Tamil Nadu,,
SIKAR,Sikar,Rajasthan,,
SINGAREDDLYPALEM HIRED CCI,Guntur,Andhra Pradesh,,
SIRHIND,Fatehgarh Sahib,Punjab,,
SIWAN - HIRED,Siwan,Bihar,,
